event,series,window,CAR,t,sig
tariff_pause,USD_EW,"(0,5)",-0.031009746123558793,-3.9995488162297943,***
tariff_pause,USD_EW,"(0,20)",-0.04483769260375323,-3.091163838794209,***
tariff_pause,USD_EW,"(0,50)",-0.06553086420871318,-2.899006731256441,***
tariff_pause,SAFE,"(0,5)",0.034984786960308885,3.759726797098006,***
tariff_pause,SAFE,"(0,20)",0.048150677625974594,2.765957070846508,***
tariff_pause,SAFE,"(0,50)",0.06463252293962021,2.3824220520156527,**
tariff_pause,RISKY,"(0,5)",0.027786918215312914,3.1775284910678097,***
tariff_pause,RISKY,"(0,20)",0.0438352076475976,2.6794034761049854,***
tariff_pause,RISKY,"(0,50)",0.06894013644234874,2.7040314982672413,***
tariff_pause,CARRY_HML,"(0,5)",-0.007197868744995985,-1.0719301493448772,
tariff_pause,CARRY_HML,"(0,20)",-0.004315469978376751,-0.3435236493456254,
tariff_pause,CARRY_HML,"(0,50)",0.0043076135027295785,0.2200340183142832,
tariff_pause,OIL_EXP,"(0,5)",0.025975631252717693,2.969603941670065,***
tariff_pause,OIL_EXP,"(0,20)",0.04054487886291217,2.4776183310596274,**
tariff_pause,OIL_EXP,"(0,50)",0.07620804031481321,2.988296950215391,***
tariff_pause,OIL_IMP,"(0,5)",0.027996594381970448,3.857357004639608,***
tariff_pause,OIL_IMP,"(0,20)",0.042500854628027225,3.130028349759104,***
tariff_pause,OIL_IMP,"(0,50)",0.05083883392596307,2.402540669530781,**
iran_12day,r_DTWEXBGS,"(0,5)",0.006952220872823392,0.8113393717813737,
iran_12day,r_DTWEXBGS,"(0,20)",-0.002961208990964281,-0.18472004570746609,
iran_12day,r_DTWEXBGS,"(0,50)",-0.0012415539009614472,-0.04969756451452726,
iran_12day,r_SP500,"(0,5)",-0.008928032198285064,-0.3597431823484699,
iran_12day,r_SP500,"(0,20)",0.04873068513747688,1.049555284449736,
iran_12day,r_SP500,"(0,50)",0.10109588651249267,1.397207301281289,
iran_12day,r_DCOILBRENTEU,"(0,5)",0.10684618932476524,2.768739760738872,***
iran_12day,r_DCOILBRENTEU,"(0,20)",0.021435330055893504,0.296906190486118,
iran_12day,r_DCOILBRENTEU,"(0,50)",-0.02607180707594189,-0.2317313388361941,
iran_12day,r_DCOILWTICO,"(0,5)",0.09961879807916739,2.344484843481647,**
iran_12day,r_DCOILWTICO,"(0,20)",0.02267762287140098,0.28527889158002234,
iran_12day,r_DCOILWTICO,"(0,50)",-0.04657429896515033,-0.37596117277609215,
iran_12day,r_Gold,"(0,5)",-0.012557078645189717,-0.559985487956632,
iran_12day,r_Gold,"(0,20)",-0.034351685110152914,-0.8188459060657213,
iran_12day,r_Gold,"(0,50)",-0.0657904250957854,-1.00633224315472,
iran_12day,d_DGS10,"(0,5)",0.021499999999999714,0.1587266181042114,
iran_12day,d_DGS10,"(0,20)",0.07524999999999943,0.2969503115536361,
iran_12day,d_DGS10,"(0,50)",-0.08725000000000038,-0.22093640139152307,
iran_12day,d_VIXCLS,"(0,5)",2.0545000000000018,0.4288984693601983,
iran_12day,d_VIXCLS,"(0,20)",-3.529250000000001,-0.39381907879142386,
