event,series,method,window,CAR,t,sig
ukraine,SGD,const_mean,"(0,20)",-0.00956862075795088,-0.9894787124880587,
ukraine,SGD,market_model,"(-1,1)",-0.003180292147635704,-1.5788431575000508,
ukraine,SGD,market_model,"(0,1)",-0.0023402520488383757,-1.4229191885078947,
ukraine,SGD,market_model,"(0,5)",-0.0009542640595812373,-0.3349851398056305,
ukraine,SGD,market_model,"(0,10)",-0.0006980072909748161,-0.18096567878892933,
ukraine,SGD,market_model,"(0,20)",-0.005973106287840669,-1.1207872844947409,
ukraine,THB,const_mean,"(-1,1)",-0.0009971442983822054,-0.13939629944383014,
ukraine,THB,const_mean,"(0,1)",-0.005918891043350304,-1.0133960550195178,
ukraine,THB,const_mean,"(0,5)",-0.010012491847927109,-0.9897383809095183,
ukraine,THB,const_mean,"(0,10)",-0.026567052862200617,-1.9395496392209468,*
ukraine,THB,const_mean,"(0,20)",-0.038511787268157245,-2.0348757129421804,**
ukraine,THB,market_model,"(-1,1)",0.0025036319667086906,0.3961836994606278,
ukraine,THB,market_model,"(0,1)",-0.002553579075259777,-0.49490410425171,
ukraine,THB,market_model,"(0,5)",-0.002537639202211549,-0.2839494239253767,
ukraine,THB,market_model,"(0,10)",-0.01619052966027914,-1.3379856521803308,
ukraine,THB,market_model,"(0,20)",-0.034560242822522604,-2.067063794291045,**
ukraine,TRY,const_mean,"(-1,1)",0.009678653523214923,0.18332817254082565,
ukraine,TRY,const_mean,"(0,1)",0.007981788804572149,0.18516552374205925,
ukraine,TRY,const_mean,"(0,5)",0.0028731207720863487,0.03848160259355405,
ukraine,TRY,const_mean,"(0,10)",-0.027094772250467577,-0.26801805775879806,
ukraine,TRY,const_mean,"(0,20)",0.014131590370935112,0.10117105672831735,
ukraine,TRY,market_model,"(-1,1)",0.03248471158914353,0.6758270725218647,
ukraine,TRY,market_model,"(0,1)",0.02990535499175443,0.7619933149014383,
ukraine,TRY,market_model,"(0,5)",0.051568584453203066,0.7586243564115469,
ukraine,TRY,market_model,"(0,10)",0.04050383238624784,0.44006514457939616,
ukraine,TRY,market_model,"(0,20)",0.03987421007956737,0.31354482863089606,
ukraine,TWD,const_mean,"(-1,1)",-0.0032354415202193,-0.899219986526523,
ukraine,TWD,const_mean,"(0,1)",-0.0031233649109862574,-1.0631652013904886,
ukraine,TWD,const_mean,"(0,5)",-0.006710132876971771,-1.3187076306654815,
ukraine,TWD,const_mean,"(0,10)",-0.017082723449092466,-2.4794410757443623,**
ukraine,TWD,const_mean,"(0,20)",-0.028566521017732348,-3.000825416982143,***
ukraine,TWD,market_model,"(-1,1)",-0.0015591801247845354,-0.48417957942981726,
ukraine,TWD,market_model,"(0,1)",-0.0015119672927045103,-0.5750401977470333,
ukraine,TWD,market_model,"(0,5)",-0.0031309818608039114,-0.6875047965655191,
ukraine,TWD,market_model,"(0,10)",-0.012114178205095704,-1.964574133320833,**
ukraine,TWD,market_model,"(0,20)",-0.0266744202649326,-3.1308059326548365,***
ukraine,ZAR,const_mean,"(-1,1)",-0.005024956355831578,-0.3251113616210078,
ukraine,ZAR,const_mean,"(0,1)",-0.0017663749593894527,-0.13996787909690994,
ukraine,ZAR,const_mean,"(0,5)",-0.005115592025211655,-0.23403497070746324,
ukraine,ZAR,const_mean,"(0,10)",0.006471794984399514,0.21866984082762286,
ukraine,ZAR,const_mean,"(0,20)",0.04319705559026035,1.0563430474435558,
ukraine,ZAR,market_model,"(-1,1)",0.005432446650881953,0.46137756113743905,
ukraine,ZAR,market_model,"(0,1)",0.008286373582290105,0.8619282946561317,
ukraine,ZAR,market_model,"(0,5)",0.017213040430258023,1.0337215972651927,
ukraine,ZAR,market_model,"(0,10)",0.03746820169940817,1.661835886916779,*
ukraine,ZAR,market_model,"(0,20)",0.05500097838847114,1.765559646224121,*
ukraine,r_DTWEXBGS,const_mean,"(-1,1)",0.004588057181004082,1.1522323724714516,
ukraine,r_DTWEXBGS,const_mean,"(0,1)",0.004966182142273655,1.5274940397986383,
ukraine,r_DTWEXBGS,const_mean,"(0,5)",0.010602888131719865,1.8828704184700078,*
ukraine,r_DTWEXBGS,const_mean,"(0,10)",0.016963789804646506,2.2248381259531675,**
ukraine,r_DTWEXBGS,const_mean,"(0,20)",0.009389248675570777,0.8912367216199452,
ukraine,r_DTWEXAFEGS,const_mean,"(-1,1)",0.005215566345258584,1.0329453299094935,
ukraine,r_DTWEXAFEGS,const_mean,"(0,1)",0.004561882222317056,1.106536031817175,
ukraine,r_DTWEXAFEGS,const_mean,"(0,5)",0.01036706289476217,1.4518327795236603,
ukraine,r_DTWEXAFEGS,const_mean,"(0,10)",0.015646358942923815,1.61827914056215,
ukraine,r_DTWEXAFEGS,const_mean,"(0,20)",0.012889310927754093,0.9648427603019389,
ukraine,r_DTWEXEMEGS,const_mean,"(-1,1)",0.003986515793454445,0.989452174853722,
ukraine,r_DTWEXEMEGS,const_mean,"(0,1)",0.005340019812797663,1.6232664638008187,
ukraine,r_DTWEXEMEGS,const_mean,"(0,5)",0.010805610924583884,1.8964248894951508,*
