event,series,method,window,CAR,t,sig
hormuz_ceasefire,r_DCOILWTICO,const_mean,"(0,5)",-0.2232947603490841,-4.065505660557139,***
hormuz_ceasefire,r_DCOILWTICO,const_mean,"(0,10)",-0.23415609484155525,-3.1486238935955972,***
hormuz_ceasefire,r_DCOILWTICO,const_mean,"(0,20)",-0.1473215035632205,-1.433732592916661,
hormuz_ceasefire,r_DHHNGSP,const_mean,"(-1,1)",-0.031219303612946135,-0.09981320302457312,
hormuz_ceasefire,r_DHHNGSP,const_mean,"(0,1)",-0.09130565870473832,-0.35752639062485436,
hormuz_ceasefire,r_DHHNGSP,const_mean,"(0,5)",-0.09151313255231676,-0.20688700139374797,
hormuz_ceasefire,r_DHHNGSP,const_mean,"(0,10)",-0.10707172612941651,-0.17877379933466586,
hormuz_ceasefire,r_DHHNGSP,const_mean,"(0,20)",-0.09152104914909676,-0.11059532038272754,
hormuz_ceasefire,r_Gold,const_mean,"(-1,1)",0.001238653985319966,0.0361714842145464,
hormuz_ceasefire,r_Gold,const_mean,"(0,1)",0.00934695122301101,0.3342965779724498,
hormuz_ceasefire,r_Gold,const_mean,"(0,5)",0.02428452311788123,0.50145377698121,
hormuz_ceasefire,r_Gold,const_mean,"(0,10)",-0.015745867325093595,-0.24013042948686691,
hormuz_ceasefire,r_Gold,const_mean,"(0,20)",-0.07567080562373525,-0.8352099562569819,
hormuz_ceasefire,r_EuroStoxx50_EUR,const_mean,"(-1,1)",0.03691036883856336,2.516508087271043,**
hormuz_ceasefire,r_EuroStoxx50_EUR,const_mean,"(0,1)",0.03727462282827394,3.112496219113629,***
hormuz_ceasefire,r_EuroStoxx50_EUR,const_mean,"(0,5)",0.047776182312159715,2.3032781667517757,**
hormuz_ceasefire,r_EuroStoxx50_EUR,const_mean,"(0,10)",0.03684681868734971,1.3119407670621752,
hormuz_ceasefire,r_EuroStoxx50_EUR,const_mean,"(0,20)",0.022929507638643907,0.5908750535524375,
hormuz_ceasefire,d_DGS10,const_mean,"(-1,1)",-0.05924999999999938,-1.0027394018002864,
hormuz_ceasefire,d_DGS10,const_mean,"(0,1)",-0.04949999999999968,-1.0260075445571342,
hormuz_ceasefire,d_DGS10,const_mean,"(0,5)",-0.07849999999999985,-0.939408282125073,
