day,month,year,daily_tpu_index
12,11,2023,33.5570469798657
13,11,2023,51.81347150259059
14,11,2023,48.4261501210653
15,11,2023,59.171597633136
16,11,2023,158.415841584158
17,11,2023,62.11180124223601
18,11,2023,49.1400491400491
19,11,2023,0.0
20,11,2023,73.8916256157635
21,11,2023,23.4192037470726
22,11,2023,42.016806722689
23,11,2023,77.92207792207789
24,11,2023,0.0
25,11,2023,118.343195266272
26,11,2023,0.0
27,11,2023,26.9541778975741
28,11,2023,46.2962962962962
29,11,2023,83.3333333333333
30,11,2023,64.51612903225801
1,12,2023,20.4498977505112
2,12,2023,55.0964187327823
3,12,2023,50.251256281407
4,12,2023,47.1698113207547
5,12,2023,66.3716814159292
6,12,2023,74.074074074074
7,12,2023,97.46588693957109
8,12,2023,101.83299389002
9,12,2023,157.894736842105
10,12,2023,17.1526586620926
11,12,2023,96.3855421686747
12,12,2023,110.864745011086
13,12,2023,59.7609561752988
14,12,2023,107.991360691144
15,12,2023,43.7636761487965
16,12,2023,53.9083557951482
17,12,2023,41.3223140495867
18,12,2023,21.321961620469
19,12,2023,114.155251141552
20,12,2023,64.1025641025641
21,12,2023,0.0
22,12,2023,20.8768267223382
23,12,2023,56.0224089635854
24,12,2023,82.135523613963
25,12,2023,38.7596899224806
26,12,2023,92.0245398773006
27,12,2023,97.323600973236
28,12,2023,51.9480519480519
29,12,2023,23.5849056603773
30,12,2023,57.6368876080691
31,12,2023,119.521912350597
1,1,2024,134.680134680134
2,1,2024,126.903553299492
3,1,2024,133.333333333333
4,1,2024,0.0
5,1,2024,127.388535031847
6,1,2024,53.9083557951482
7,1,2024,0.0
8,1,2024,80.64516129032249
9,1,2024,44.6428571428571
10,1,2024,42.9184549356223
11,1,2024,67.1140939597315
12,1,2024,56.81818181818181
13,1,2024,106.666666666666
14,1,2024,110.93502377179
15,1,2024,57.30659025787961
16,1,2024,71.25890736342039
17,1,2024,64.6551724137931
18,1,2024,129.310344827586
19,1,2024,100.603621730382
20,1,2024,79.57559681697609
21,1,2024,17.6366843033509
22,1,2024,49.7512437810945
23,1,2024,0.0
24,1,2024,41.8410041841004
25,1,2024,65.5021834061135
