spec,term,dropped,day,beta,pct_change,within_slope,t_HAC5,p_HAC5,t_HC3,p_HC3
B: VIX + GPR,vix_tariff,2025-04-04 00:00:00,2.0,-0.13289617922761301,97.21176059684585,-0.06307631493403588,-4.170840938766479,3.0347764253032742e-05,-1.5627392962680504,0.11811392748416856
B: VIX + GPR,vix_tariff,2025-04-07 00:00:00,3.0,-0.06963240379378159,3.331254717583845,0.00018746049979513624,-2.645636455144371,0.008153739355538451,-0.9568527619563639,0.33864157687373264
B: VIX + GPR,vix_tariff,2025-04-08 00:00:00,4.0,-0.06975914016114827,3.519325603333122,6.0724132428816024e-05,-2.650931038812384,0.008027022907654339,-0.8012790976731116,0.42297008882666687
B: VIX + GPR,vix_tariff,2025-04-09 00:00:00,5.0,-0.0882441500604628,30.950222172980258,-0.01842428576688579,-2.4765367534996465,0.0132663965259634,-0.6817082101635382,0.49542347493665906
B: VIX + GPR,vix_tariff,2025-04-10 00:00:00,6.0,-0.04917759304143757,-27.02273487481892,0.020642271252139646,-1.8335223548618158,0.06672492721743639,-0.7074409450415776,0.47929249960058495
B: VIX + GPR,vix_tariff,2025-04-11 00:00:00,7.0,-0.07360046765114983,9.219677274352916,-0.003780603357572826,-2.7169840222948256,0.006587978796366416,-0.8402001902364992,0.4007961517710138
B: VIX + GPR,vix_tariff,2025-04-14 00:00:00,8.0,-0.0715968607512518,6.246417647406628,-0.0017769964576749286,-2.661181955545262,0.007786686529805448,-0.8701086416603586,0.38424103555595635
B: VIX + GPR,vix_tariff,2025-04-15 00:00:00,9.0,-0.06616281606511229,-1.817452404719285,0.0036570482284647016,-2.713405134387601,0.0066595633013505715,-0.8724327202248306,0.38297235689103315
B: VIX + GPR,vix_tariff,2025-04-16 00:00:00,10.0,-0.06533665617810656,-3.04343532460324,0.0044832081154703995,-2.7897454854525754,0.0052749490269518706,-0.8374949728507164,0.40231440153138587
B: VIX + GPR,vix_tariff,2025-04-17 00:00:00,11.0,-0.06580176768810005,-2.3532314354261654,0.004018096605476987,-2.693511930562334,0.007070361496901715,-0.8369756108783212,0.40260627729921095
B: VIX + GPR,vix_tariff,2025-04-18 00:00:00,12.0,-0.06693683242833612,-0.6688480534933434,0.0028830318652411507,-2.7425385841409478,0.006096628690116732,-0.8036642044658086,0.4215909323165695
B: VIX + GPR,vix_tariff,2025-04-21 00:00:00,13.0,-0.0645286336515159,-4.242503243613412,0.005291230642061273,-2.7999554870470003,0.005110965385020383,-0.8309220001899179,0.40601769440754365
B: VIX + GPR,vix_tariff,2025-04-22 00:00:00,14.0,-0.06402435948722011,-4.99082269374559,0.005795504806356891,-2.758010640558469,0.005815430489808638,-0.840676102801555,0.4005294117030408
B: VIX + GPR,vix_tariff,2025-04-23 00:00:00,15.0,-0.06410397406671478,-4.87267835368575,0.0057158902268622525,-2.7248682424144044,0.006432715197363209,-0.8325290407139487,0.4051103931645964
B: VIX + GPR,vix_tariff,2025-04-24 00:00:00,16.0,-0.06753379262467678,0.2170131654732809,0.0022860716689001304,-2.700543493089639,0.006922628501555894,-0.8662074223190999,0.38637642376862946
B: VIX + GPR,vix_tariff,2025-04-25 00:00:00,17.0,-0.067014277387733,-0.5539233289393661,0.002805586905843982,-2.6965808840132635,0.007005538176356414,-0.8674793025125312,0.3856794474214337
B: VIX + GPR,vix_tariff,2025-04-28 00:00:00,18.0,-0.0664495263218522,-1.3919876935328837,0.003370337971724799,-2.692685110888105,0.007087917669927971,-0.8487158102171992,0.39603944656328993
B: VIX + GPR,vix_tariff,2025-04-29 00:00:00,19.0,-0.06736761710382452,-0.02958359318328209,0.002452247189752399,-2.7057093867288757,0.00681586642554236,-0.8687235618145311,0.3849983507324902
B: VIX + GPR,vix_tariff,2025-04-30 00:00:00,20.0,-0.06754364551423389,0.23163439617997097,0.002276218779343031,-2.6849886284560625,0.007253227396348159,-0.8563419540296904,0.39180866155352057
B: VIX + GPR,vix_tariff,_huber_within_slope,,-0.06247985035102793,,0.005070921475526177,,,,
C: VXY,vxy_tariff,2025-04-02 00:00:00,0.0,-0.12654054336572645,0.028792610981607517,-0.019443393671204512,-3.1873105803749673,0.0014360248359819828,-1.6787354698603205,0.09320360990744618
C: VXY,vxy_tariff,2025-04-03 00:00:00,1.0,-0.09713885904595257,-23.212888711154918,0.00995829064856893,-2.0885169899632507,0.03675122443834349,-1.1839666495477912,0.23642626486298235
C: VXY,vxy_tariff,2025-04-04 00:00:00,2.0,-0.15509676982289955,22.602149560944437,-0.047999620128378204,-3.5582934299327404,0.0003732721833218237,-2.200177951877698,0.027794271957338794
C: VXY,vxy_tariff,2025-04-07 00:00:00,3.0,-0.1325729581888808,4.797344691121889,-0.025475808494358834,-3.265794256951759,0.0010915752775686606,-1.8124748395537933,0.06991285817316763
C: VXY,vxy_tariff,2025-04-08 00:00:00,4.0,-0.12393297709501898,-2.032457473571413,-0.016835827400497216,-2.860769373726854,0.004226143588808786,-1.5874920780754815,0.11240123975285413
C: VXY,vxy_tariff,2025-04-09 00:00:00,5.0,-0.12802204918209795,1.1999053161758637,-0.02092489948757685,-2.803617677395171,0.005053278771092679,-1.3953086350288841,0.1629227892534466
C: VXY,vxy_tariff,2025-04-10 00:00:00,6.0,-0.1726732730093642,36.496166018450225,-0.06557612331484258,-5.531547566016783,3.1741776023063644e-08,-2.6291209110771554,0.008560591751246502
C: VXY,vxy_tariff,2025-04-11 00:00:00,7.0,-0.08978204394819157,-29.02836343663006,0.01731510574633137,-1.5708266789014076,0.11622291329237436,-1.0406783703960631,0.298024845013676
C: VXY,vxy_tariff,2025-04-14 00:00:00,8.0,-0.13768877537367186,8.841337253522749,-0.030591625679150067,-2.78896394500507,0.005287695133561273,-1.4669892900345691,0.1423789688228887
C: VXY,vxy_tariff,2025-04-15 00:00:00,9.0,-0.12316187416444839,-2.642005157437744,-0.01606472446992664,-3.0372135815333245,0.002387762037778643,-1.597110047701621,0.11024117885917142
C: VXY,vxy_tariff,2025-04-16 00:00:00,10.0,-0.1241387715212154,-1.8697794303848745,-0.017041621826693554,-3.1639811317571453,0.001556268844455654,-1.5979707038796405,0.11004949716275722
C: VXY,vxy_tariff,2025-04-17 00:00:00,11.0,-0.12665097768042569,0.11608962163422086,-0.01955382798590384,-3.012829454663443,0.0025882432688814107,-1.6139156439315776,0.10654572490369317
C: VXY,vxy_tariff,2025-04-18 00:00:00,12.0,-0.1264505961949842,-0.04230955634604643,-0.01935344650046235,-3.1299558714869824,0.0017483256462720123,-1.6729448073925075,0.09433816182853585
C: VXY,vxy_tariff,2025-04-21 00:00:00,13.0,-0.11964618875823786,-5.42111260418621,-0.012549039063717293,-3.326443541019954,0.0008796183742641685,-1.4793769803408656,0.13903958896883542
C: VXY,vxy_tariff,2025-04-22 00:00:00,14.0,-0.12442164131498094,-1.646174226994002,-0.017324491620459126,-3.158705655903716,0.001584714550337206,-1.6420659820967944,0.1005763306342397
C: VXY,vxy_tariff,2025-04-23 00:00:00,15.0,-0.115961482410204,-8.333829092644688,-0.008864332715682238,-3.3078739342064947,0.0009400711688955913,-1.5344241271497365,0.12492534576650732
C: VXY,vxy_tariff,2025-04-24 00:00:00,16.0,-0.12629010345913266,-0.16917715279426918,-0.0191929537646109,-3.1846402571199683,0.0014493405719981482,-1.671628562284225,0.09459758893052111
C: VXY,vxy_tariff,2025-04-25 00:00:00,17.0,-0.1256470205057654,-0.6775265692189696,-0.018549870811243555,-3.169444755731012,0.0015273048924518233,-1.6541734828286088,0.09809226904081716
C: VXY,vxy_tariff,2025-04-28 00:00:00,18.0,-0.12649641901796746,-0.006087160463050051,-0.0193992693234456,-3.1907152832098027,0.0014192106273915725,-1.6711310868394644,0.0946957882813848
C: VXY,vxy_tariff,2025-04-29 00:00:00,19.0,-0.12688340750360172,0.2998226289430844,-0.01978625780907986,-3.186159953668544,0.001441748621305622,-1.668466303270049,0.09522319576134362
C: VXY,vxy_tariff,2025-04-30 00:00:00,20.0,-0.12642050846064973,-0.06609355203490803,-0.019323358766127854,-3.1827120299069978,0.0014590264552106114,-1.6799788115396719,0.0929614383238233
C: VXY,vxy_tariff,_huber_within_slope,,-0.18128265199916177,,-0.051188891462426826,,,,
