n_placebo,rej5_hac5,rej1_hac5,rej5_hc3,rej1_hc3,rej5_cl,rej1_cl,sd_beta,med_se_hac5,med_se_hc3,med_se_cl,p_two_sided_beta,p_one_sided_beta,p_two_sided_t_hac5,p_one_sided_t_hac5,p_two_sided_t_hc3,p_one_sided_t_hc3,p_two_sided_t_cl,p_one_sided_t_cl,beta_q01,beta_q05,beta_q95,beta_q99,spec,target,variant,actual_beta,actual_t_hac5,actual_t_hc3,actual_t_cl,actual_shock_sd,shock_sd_percentile
1811,0.2871341800110436,0.18056322473771397,0.12258420762009939,0.05190502484815019,0.10712313638873551,0.05135284373274434,0.16098921325630736,0.06700440404762305,0.11011228466118489,0.11145807148772928,0.5212589729431254,0.13694091662065158,0.16399779127553837,0.05190502484815019,0.405853119823302,0.13859745996686915,0.02816123688569851,0.007730535615681944,-0.2976739400488888,-0.15484517716901258,0.3468853540286324,0.6421320095697906,B: VIX + GPR,tariff,all admissible,-0.06738755276329018,-2.704543949586322,-0.8731743566090875,-2.9838258315886503,3.1640849067858423,0.9872998343456654
1719,0.27981384525887143,0.17161140197789412,0.11052937754508435,0.041884816753926704,0.10471204188481675,0.04712041884816754,0.15877925004629428,0.06704039784478379,0.11002983455209665,0.11197213225228968,0.5136707388016288,0.13496218731820825,0.15474112856311809,0.051192553810354854,0.39848749272833045,0.13903432228039558,0.02501454333915067,0.005235602094240838,-0.27405795383969395,-0.14922778657140867,0.34900815716451555,0.6450211760310421,B: VIX + GPR,tariff,quiet: other dated episodes excluded,-0.06738755276329018,-2.704543949586322,-0.8731743566090875,-2.9838258315886503,3.1640849067858423,0.9872998343456654
1684,0.30403800475059384,0.19121140142517815,0.13182897862232779,0.055819477434679333,0.10866983372921615,0.05344418052256532,0.1656606367495855,0.07010573323856267,0.11510603180112308,0.11620662285437545,0.5528503562945368,0.14370546318289787,0.17339667458432304,0.05344418052256532,0.42577197149643703,0.14073634204275534,0.028503562945368172,0.006532066508313539,-0.2983404291540252,-0.15931560183496288,0.3508042795629849,0.6474595594731561,B: VIX + GPR,tariff,COVID Feb-Jun 2020 excluded,-0.06738755276329018,-2.704543949586322,-0.8731743566090875,-2.9838258315886503,3.1640849067858423,0.9872998343456654
121,0.19008264462809918,0.12396694214876033,0.10743801652892562,0.03305785123966942,0.09090909090909091,0.024793388429752067,0.029269680222115995,0.023343571394647503,0.04056722652847379,0.0361900211803628,0.03305785123966942,0.03305785123966942,0.10743801652892562,0.09917355371900827,0.4049586776859504,0.39669421487603307,0.024793388429752067,0.024793388429752067,-0.08444984659491074,-0.06300429235553497,0.02319166866695202,0.03334524412907559,B: VIX + GPR,tariff,shock SD >= half the tariff window's,-0.06738755276329018,-2.704543949586322,-0.8731743566090875,-2.9838258315886503,3.1640849067858423,0.9872998343456654
182,0.25274725274725274,0.14285714285714285,0.07142857142857142,0.02197802197802198,0.06593406593406594,0.016483516483516484,0.03503858972884415,0.023876989624787882,0.045525953535659476,0.03992064079686561,0.06593406593406594,0.054945054945054944,0.12087912087912088,0.11538461538461539,0.3626373626373626,0.34615384615384615,0.016483516483516484,0.016483516483516484,-0.09074422939561706,-0.07281155750513278,0.030751249907277116,0.05841353671677341,B: VIX + GPR,tariff,top-decile shock SD,-0.06738755276329018,-2.704543949586322,-0.8731743566090875,-2.9838258315886503,3.1640849067858423,0.9872998343456654
91,0.21978021978021978,0.15384615384615385,0.14285714285714285,0.04395604395604396,0.0989010989010989,0.02197802197802198,0.020804224955759777,0.020575733911092218,0.03407438259492508,0.032232457228240335,0.02197802197802198,0.02197802197802198,0.13186813186813187,0.13186813186813187,0.45054945054945056,0.45054945054945056,0.02197802197802198,0.02197802197802198,-0.0731826006338161,-0.0574743123984952,0.0162750847606427,0.021288321404975274,B: VIX + GPR,tariff,top-5% shock SD,-0.06738755276329018,-2.704543949586322,-0.8731743566090875,-2.9838258315886503,3.1640849067858423,0.9872998343456654
1811,0.43787962451684154,0.311982330204307,0.24185532854776368,0.12037548315847597,0.23136388735505245,0.10160132523467698,0.16457959050855434,0.06680983371799726,0.10737428524179381,0.11180059084613914,0.484815019326339,0.16068470458310327,0.21976808393152955,0.07454445057979017,0.3031474323578134,0.08669243511871894,0.009387078961899503,0.009387078961899503,-0.3680540102514381,-0.28570871421393584,0.27269774088250254,0.3662492721107007,C: VXY,tariff,all admissible,-0.12650411952671542,-3.1972589106901053,-1.6764494552447002,-4.631709637243525,2.4399723541525384,0.9823302043070127
1719,0.42524723676556136,0.2995927865037813,0.2280395578824898,0.1070389761489238,0.22047702152414195,0.09424083769633508,0.16036946141707006,0.06616308265578738,0.10739809840193427,0.1109537808592547,0.4682955206515416,0.15066899360093078,0.20593368237347295,0.06399069226294357,0.2891215823152996,0.07678883071553229,0.006980802792321117,0.006980802792321117,-0.3683018602468017,-0.2771717589875758,0.2620372471645436,0.36608938766485616,C: VXY,tariff,quiet: other dated episodes excluded,-0.12650411952671542,-3.1972589106901053,-1.6764494552447002,-4.631709637243525,2.4399723541525384,0.9823302043070127
1684,0.43705463182897863,0.30581947743467935,0.2375296912114014,0.11460807600950118,0.2179334916864608,0.0855106888361045,0.16826886475088615,0.06883727984103122,0.10964427419814635,0.11652500361712033,0.497624703087886,0.17161520190023752,0.2161520190023753,0.07600950118764846,0.2992874109263658,0.083729216152019,0.004750593824228029,0.004750593824228029,-0.3685070540991676,-0.29415127868405705,0.27637100049314933,0.3752407611863731,C: VXY,tariff,COVID Feb-Jun 2020 excluded,-0.12650411952671542,-3.1972589106901053,-1.6764494552447002,-4.631709637243525,2.4399723541525384,0.9823302043070127
169,0.514792899408284,0.31952662721893493,0.24260355029585798,0.07100591715976332,0.3905325443786982,0.21301775147928995,0.07512491099687657,0.03293997127522941,0.060723650291145105,0.044894235761272265,0.07100591715976332,0.005917159763313609,0.16568047337278108,0.05917159763313609,0.30177514792899407,0.11242603550295859,0.05325443786982249,0.05325443786982249,-0.12243814114144497,-0.07461580246143709,0.12946464394793816,0.22269114980296742,C: VXY,tariff,shock SD >= half the tariff window's,-0.12650411952671542,-3.1972589106901053,-1.6764494552447002,-4.631709637243525,2.4399723541525384,0.9823302043070127
