spec,term,estimator,coef,se,t,p
B: VIX + GPR,vix_hormuz,HAC(1),0.06203444411794597,0.05978175698709196,1.037681848851321,0.29941819813264803
B: VIX + GPR,vix_hormuz,HAC(2),0.06203444411794597,0.05803720479237153,1.068873739524062,0.2851265664107391
B: VIX + GPR,vix_hormuz,HAC(3),0.06203444411794597,0.056283460969364485,1.102178918096593,0.2703838953550105
B: VIX + GPR,vix_hormuz,HAC(4),0.06203444411794597,0.051381395046072566,1.2073328110753132,0.2273039995058297
B: VIX + GPR,vix_hormuz,HAC(5),0.06203444411794597,0.04755924112165366,1.304361521649717,0.19211034814308015
B: VIX + GPR,vix_hormuz,HAC(6),0.06203444411794597,0.04217665458808415,1.4708241970303657,0.14133866685030877
B: VIX + GPR,vix_hormuz,HAC(7),0.06203444411794597,0.036793630358928395,1.6860104184552858,0.09179379268132022
B: VIX + GPR,vix_hormuz,HAC(8),0.06203444411794597,0.03377311802410641,1.8367994353872605,0.06623950931584482
B: VIX + GPR,vix_hormuz,HAC(10),0.06203444411794597,0.03228239791458723,1.921618223097203,0.05465381389373829
B: VIX + GPR,vix_hormuz,HAC(12),0.06203444411794597,0.030058059469141536,2.063820659535001,0.03903472350337516
B: VIX + GPR,vix_hormuz,HAC(15),0.06203444411794597,0.027050986974921726,2.2932414323904893,0.02183410901127291
B: VIX + GPR,vix_hormuz,HAC(21),0.06203444411794597,0.024451384987430397,2.5370523653296413,0.011179023110246367
B: VIX + GPR,vix_hormuz,HAC(7) auto,0.06203444411794597,0.036793630358928395,1.6860104184552858,0.09179379268132022
B: VIX + GPR,vix_ukraine,classical,0.1682322609340849,0.06791890650574582,2.476957736648082,0.013335328118084211
B: VIX + GPR,vix_ukraine,HC0,0.1682322609340849,0.06302568695896305,2.6692650100525426,0.007601744528541613
B: VIX + GPR,vix_ukraine,HC1,0.1682322609340849,0.0632201111337803,2.66105607720442,0.007789598259593166
B: VIX + GPR,vix_ukraine,HC2,0.1682322609340849,0.0690318600148515,2.437023439581252,0.014808719417159106
B: VIX + GPR,vix_ukraine,HC3,0.1682322609340849,0.075929144951251,2.215648036628037,0.026715616267746815
B: VIX + GPR,vix_ukraine,HAC(0),0.1682322609340849,0.06302568695896305,2.6692650100525426,0.007601744528541613
B: VIX + GPR,vix_ukraine,HAC(1),0.1682322609340849,0.05098378014558032,3.29972121434916,0.000967809181701974
B: VIX + GPR,vix_ukraine,HAC(2),0.1682322609340849,0.0469010475513853,3.5869616931214123,0.0003345534491447343
B: VIX + GPR,vix_ukraine,HAC(3),0.1682322609340849,0.04739560073030744,3.5495332550243974,0.0003859147188305805
B: VIX + GPR,vix_ukraine,HAC(4),0.1682322609340849,0.044137670206425186,3.8115346856163486,0.00013810667150404308
B: VIX + GPR,vix_ukraine,HAC(5),0.1682322609340849,0.04237452113425102,3.970127718991589,7.183411506830824e-05
B: VIX + GPR,vix_ukraine,HAC(6),0.1682322609340849,0.043893178974263446,3.8327654743969917,0.0001267107411160924
B: VIX + GPR,vix_ukraine,HAC(7),0.1682322609340849,0.04017757052683394,4.187218359102259,2.8239411212628685e-05
B: VIX + GPR,vix_ukraine,HAC(8),0.1682322609340849,0.04015413176992493,4.189662520858919,2.7936963356009265e-05
B: VIX + GPR,vix_ukraine,HAC(10),0.1682322609340849,0.03827471053927042,4.395389502984642,1.1057430076679632e-05
B: VIX + GPR,vix_ukraine,HAC(12),0.1682322609340849,0.03600122240866611,4.672959685213036,2.9689005977395762e-06
B: VIX + GPR,vix_ukraine,HAC(15),0.1682322609340849,0.031361036499624524,5.364371835608784,8.123141307725581e-08
B: VIX + GPR,vix_ukraine,HAC(21),0.1682322609340849,0.026732921900458888,6.293074193704096,3.112394808880819e-10
B: VIX + GPR,vix_ukraine,HAC(7) auto,0.1682322609340849,0.04017757052683394,4.187218359102259,2.8239411212628685e-05
B: VIX + GPR,gpr,classical,0.013287143352198987,0.007077400699872646,1.8774044194555892,0.06061246657543792
B: VIX + GPR,gpr,HC0,0.013287143352198987,0.006797553947144925,1.9546947998522008,0.050619104246183884
B: VIX + GPR,gpr,HC1,0.013287143352198987,0.006818523315044238,1.9486834228288887,0.051333242664408654
B: VIX + GPR,gpr,HC2,0.013287143352198987,0.006808621838687233,1.9515173065862141,0.05099553950896344
B: VIX + GPR,gpr,HC3,0.013287143352198987,0.006819734514456441,1.9483373324918973,0.05137461291947472
B: VIX + GPR,gpr,HAC(0),0.013287143352198987,0.00679755394714494,1.9546947998521964,0.050619104246184404
B: VIX + GPR,gpr,HAC(1),0.013287143352198987,0.006684346573587244,1.9877998852875551,0.046833826439587806
B: VIX + GPR,gpr,HAC(2),0.013287143352198987,0.006636118329953505,2.0022462969390844,0.04525824865962494
B: VIX + GPR,gpr,HAC(3),0.013287143352198987,0.006531554763051465,2.0343002293058,0.041921334086354484
B: VIX + GPR,gpr,HAC(4),0.013287143352198987,0.006518019485920886,2.038524644011821,0.04149749274921731
B: VIX + GPR,gpr,HAC(5),0.013287143352198987,0.006514905253388752,2.0394990925290326,0.04140024170105983
B: VIX + GPR,gpr,HAC(6),0.013287143352198987,0.006506995613531722,2.0419782248765475,0.0411536913493286
B: VIX + GPR,gpr,HAC(7),0.013287143352198987,0.0064877265689293325,2.0480430565358674,0.04055578069892127
B: VIX + GPR,gpr,HAC(8),0.013287143352198987,0.0064600321226854825,2.05682310859399,0.039703244387294716
B: VIX + GPR,gpr,HAC(10),0.013287143352198987,0.006408578000674202,2.0733372287582577,0.03814090629994604
B: VIX + GPR,gpr,HAC(12),0.013287143352198987,0.006414395865764924,2.071456709292837,0.03831613603124145
B: VIX + GPR,gpr,HAC(15),0.013287143352198987,0.006410202336172065,2.0728118482658653,0.038189793343905494
B: VIX + GPR,gpr,HAC(21),0.013287143352198987,0.006417384756189359,2.0704919304369227,0.03840630094497187
B: VIX + GPR,gpr,HAC(7) auto,0.013287143352198987,0.0064877265689293325,2.0480430565358674,0.04055578069892127
B: VIX + GPR,gpr_tariff,classical,0.15425420584774138,0.08497945703321383,1.8151940625774043,0.06964827987146788
B: VIX + GPR,gpr_tariff,HC0,0.15425420584774138,0.1577827917811426,0.9776364336467335,0.3282541710383373
B: VIX + GPR,gpr_tariff,HC1,0.15425420584774138,0.1582695264852385,0.9746298562542826,0.32974389825053085
B: VIX + GPR,gpr_tariff,HC2,0.15425420584774138,0.19980392010346273,0.772027925017013,0.44009788837282016
B: VIX + GPR,gpr_tariff,HC3,0.15425420584774138,0.2662809794683283,0.5792911163077966,0.5623927587718175
B: VIX + GPR,gpr_tariff,HAC(0),0.15425420584774138,0.1577827917811426,0.9776364336467335,0.3282541710383373
B: VIX + GPR,gpr_tariff,HAC(1),0.15425420584774138,0.13469149782671933,1.1452408528873106,0.2521093996430672
B: VIX + GPR,gpr_tariff,HAC(2),0.15425420584774138,0.1218016072091078,1.2664381807615992,0.20535624874647918
B: VIX + GPR,gpr_tariff,HAC(3),0.15425420584774138,0.10161581576748438,1.5180137529053872,0.12901093167659844
B: VIX + GPR,gpr_tariff,HAC(4),0.15425420584774138,0.08730468001712463,1.766849220654434,0.07725348306630694
B: VIX + GPR,gpr_tariff,HAC(5),0.15425420584774138,0.08457113255953189,1.823958142444855,0.0681584005358273
B: VIX + GPR,gpr_tariff,HAC(6),0.15425420584774138,0.08605299897061942,1.7925488674765129,0.07304508867959973
B: VIX + GPR,gpr_tariff,HAC(7),0.15425420584774138,0.08616750131176854,1.7901668668518504,0.07342708985196335
B: VIX + GPR,gpr_tariff,HAC(8),0.15425420584774138,0.0856321580577666,1.8013583838875464,0.0716464110550563
B: VIX + GPR,gpr_tariff,HAC(10),0.15425420584774138,0.08495288683111046,1.8157617898777771,0.06940692099412807
B: VIX + GPR,gpr_tariff,HAC(12),0.15425420584774138,0.0806127202474517,1.9135219029234734,0.05568127225757985
B: VIX + GPR,gpr_tariff,HAC(15),0.15425420584774138,0.07786334853442692,1.9810887760566656,0.0475813187637602
B: VIX + GPR,gpr_tariff,HAC(21),0.15425420584774138,0.06694135001764501,2.304318717908761,0.021204758988968987
