start,beta,t_cl,se_cl,t_hac5,se_hac5,t_hc3,se_hc3,shock_sd
89,0.07684922951593154,0.9343489757946354,0.08224895783780745,2.3503917254672135,0.03269634958430402,2.032381117782127,0.03781241069578262,0.8227218345475137
90,0.07785913013475594,0.9461683741649031,0.08228887401090226,2.385312208582363,0.03264106470197842,2.0417773574302633,0.0381330167324158,0.8223103224298173
91,0.07471775205885518,0.9098887384083404,0.08211745997599468,2.320359209941141,0.0322009418794905,1.9963029512275718,0.03742806271608703,0.8240801256744994
92,0.06982014001813577,0.7825020801885775,0.08922677879822327,1.7011258261359574,0.041043489520542736,1.576764875858802,0.044280628701922016,0.7579917807719466
93,0.05793898117630466,0.4874806613739568,0.11885390696936475,0.8302110541548453,0.0697882555120716,0.7352645609534731,0.07880018193882594,0.5682441574223563
94,0.09984551749454078,0.7525822304754956,0.1326705753223226,1.4131309430694714,0.07065553124020174,1.189330797410176,0.0839510064920198,0.5088274989575606
95,0.11058655621327666,0.7864755745136086,0.14061028695222771,1.4300667804836682,0.07732964482670857,1.1643789830053357,0.09497470997616754,0.4800165070194007
96,0.1262946919769791,0.8746836113177017,0.14438900002564067,1.6428280558317268,0.07687639100675021,1.3029802602318168,0.09692755587449164,0.4674053221466806
97,0.10313066335814468,0.7052836913132692,0.14622578776224196,1.2197511114411226,0.0845505795328171,1.1141855123117832,0.09256148300130253,0.46154064356562846
98,0.10985993823046541,0.7486313726653917,0.14674770820694474,1.3451567321496765,0.08167073442430739,1.1501315645167631,0.0955194532693518,0.45989055619542796
99,0.12685421254723286,0.836813120092624,0.15159204546552976,1.6466646599126036,0.07703706506579526,1.2518809350107347,0.10133089257896967,0.44513941790001693
100,0.08203428398648552,0.5436837658785884,0.15088602811952423,0.8098334470938977,0.10129772273652943,0.8168758725154606,0.1004244178908992,0.4471851191123385
101,0.12512093782110092,0.7138621718350449,0.17527324287189314,1.0151450515648848,0.12325424591118504,1.040430222079479,0.12025884597145321,0.38483665727325433
102,0.1302173483120497,0.7118092316275143,0.1829385494401563,1.0007474755819468,0.13012008672450234,1.0319796988921077,0.126182083283078,0.36867860998499496
103,0.12059334515201134,0.6884956543102501,0.1751548385193867,0.9859287423656616,0.12231446348004492,1.0595488017099437,0.11381575342012827,0.3850866814093873
104,0.07976637168794493,0.401805976812972,0.19851962462239245,0.5179202646411902,0.15401284161608592,0.47392642159139825,0.16830961105755046,0.3396976111425228
105,0.04235432408420001,0.21188001681066188,0.1998976813469307,0.2691256944265264,0.15737748182852565,0.22186981194989605,0.19089719197023844,0.33735050545954154
106,0.034104524784927044,0.17200246485103782,0.19827927939557818,0.21806689204283253,0.15639478540478424,0.17795896244665022,0.1916426366845735,0.34011863767104233
107,-0.13274586752849277,-0.6072254885948031,0.21861049975962565,-0.9021006870337175,0.14715194150332264,-0.5028285955365219,0.26399824653339754,0.30841256652953614
108,-0.14915889461598503,-0.7075267291252801,0.2108173281317458,-0.9594104476720561,0.15546932491501306,-0.5986247313370726,0.24916928220260398,0.3198598914335472
109,-0.34047337445847803,-1.341902602530923,0.25372435660853565,-3.1937411897930605,0.10660643872665809,-1.4667404571976548,0.23212925830721567,0.2656524195030441
110,-0.35879911644882106,-1.3608614577133769,0.26365587357562664,-3.2268153632824705,0.11119294910131873,-1.5063880931698046,0.23818504545785477,0.2556360453981825
111,-0.23955110788786216,-0.966579131009554,0.24783393330420908,-1.7942394459726114,0.13351122584310793,-1.1043396185063286,0.2169179696838789,0.2720513267269967
112,-0.21379808905110861,-0.8896160446449425,0.24032625123846352,-1.7312303623357141,0.1234948818496112,-1.1050385816927155,0.19347567821895353,0.280574073792068
113,-0.22243187221627864,-0.9244918743473767,0.24059905596606698,-1.8194254024738419,0.12225391154473374,-1.206420225392396,0.18437346086761042,0.28025988997694706
114,-0.20135167083724897,-0.8896232428322671,0.22633364456195146,-1.6287625212825063,0.12362248529558646,-1.1529372612014899,0.17464234838539086,0.29794971694995365
115,-0.20481878665028422,-0.9048464992863394,0.22635749468205563,-1.6623214381917863,0.12321250387835866,-1.1571474542916993,0.17700318649160898,0.29790898056132165
116,-0.20251381612818042,-0.9033326939898823,0.22418519497363468,-1.6004452789930579,0.1265359202131514,-1.1190177973675774,0.18097461595747816,0.3007892358679857
117,-0.1756783091324451,-0.7852242156434214,0.22373012145135177,-1.6013590079409499,0.10970576133226662,-1.0402826230213416,0.16887555866521575,0.3013933049344238
118,-0.15343057218026773,-0.6881257013039619,0.22296881498471122,-1.3590443544436666,0.11289592696411702,-0.9276218464682554,0.16540206848774164,0.30245165621264347
119,-0.16077437533940425,-0.7843327648625412,0.2049823525701886,-1.895109300056412,0.0848364658094488,-1.277271660289212,0.12587328157190944,0.3290052530568961
120,-0.1755546776571506,-0.8355369854821462,0.21011000195981375,-1.8727919119724685,0.09373955351625386,-1.3805108344446997,0.12716646133948392,0.3209636151167553
121,-0.08342439529566938,-0.4124652895586873,0.20225797759837777,-1.746585078678283,0.04776428947784224,-1.119388197543095,0.07452677764405108,0.33351506595986197
122,-0.10703969524709989,-0.5365266608910616,0.19950489518885928,-2.125952513061109,0.05034905276081447,-1.4092147358433913,0.0759569798161658,0.33811213978542015
123,-0.14494354052415379,-0.7508686651620305,0.19303447759785836,-2.273268612168817,0.06375997088433386,-1.83843584596373,0.07884068451035486,0.34942043147382784
124,-0.1374722735800414,-0.6674968921919513,0.20595193054548136,-2.0491585026351027,0.0670871840334751,-1.4422874150846416,0.09531544971012158,0.32748469278313314
125,-0.12681020218449449,-0.6394475220439446,0.1983121332289403,-2.085815571954905,0.06079645961490411,-1.4583054329652654,0.08695723085022265,0.3401153336429166
126,-0.13886301567384815,-0.7045188547753441,0.19710333475479314,-2.2211953475096253,0.06251724587373168,-1.6061760316158347,0.08645566422389586,0.34218693806867895
