date,EUR,GBP,AUD,NZD,JPY,CHF,CAD,SEK,NOK,DKK,MXN,ZAR,TRY,INR,KRW,TWD,THB,SGD,MYR,IDR,PLN,HUF,CZK,ILS,CNY,HKD,SAR,KWD
2024-12-31,-0.022686,-0.017806,-0.05131,-0.056613,-0.053064,-0.033213,-0.028002,-0.016909,-0.030659,-0.022944,-0.016581,-0.040906,0.012866,-0.010306,-0.058628,-0.013581,-0.002845,-0.020852,-0.00734,-0.01485,-0.01443,-0.017429,-0.019474,-0.002118,-0.010134,0.00146,4e-05,-0.034012
2025-01-31,-0.000264,-0.009413,0.003829,0.007375,0.009069,-0.007617,-0.011144,-0.004132,0.005552,-0.00145,0.012418,0.013607,0.020997,-0.00823,0.013404,-0.007991,0.01549,0.003614,0.002455,-0.011601,0.017276,0.0116,0.000878,0.016243,0.004254,-0.003403,0.002503,-0.023874
2025-02-28,-6.6e-05,0.014947,-0.000648,-0.006789,0.026757,0.005238,0.003093,0.028125,0.005465,0.00054,0.011133,0.001254,0.00532,-0.008265,-0.004257,-0.000577,-0.015,0.004503,-0.002614,-0.01599,0.006567,0.013393,0.006018,-0.006256,-0.006398,0.001031,0.001159,-0.015597
2025-03-31,0.040098,0.026739,0.006042,0.013404,0.00088,0.017789,0.004045,0.068181,0.068911,0.039252,0.008086,0.023062,-0.013999,0.025486,-0.009378,-0.013223,0.008107,0.00488,0.004592,0.002292,0.044051,0.04482,0.046579,-0.034506,0.001458,-0.000869,0.000546,-0.009431
2025-04-30,0.044535,0.031462,0.024265,0.043322,0.043628,0.064426,0.040284,0.0365,0.010033,0.043789,0.046874,-0.013556,0.027183,0.01377,0.031781,0.034743,0.015571,0.025386,0.02681,-0.000572,0.0261,0.043701,0.047133,0.023856,-0.004107,0.002299,0.000506,-0.003799
2025-05-31,-0.000151,0.009596,0.004199,0.003451,-0.010349,0.000689,0.002662,0.005674,0.01822,0.000501,0.013679,0.035679,0.017972,-0.008555,0.027634,0.066215,0.013365,0.010189,0.012583,0.020085,0.00939,0.005109,0.001654,0.032771,0.007507,-0.011377,0.000213,-0.005211
2025-06-30,0.036027,0.020048,0.022548,0.02137,-0.003222,0.032827,0.008078,0.012315,0.01486,0.035589,0.039622,0.016045,0.017017,-0.000444,0.019908,0.021818,0.011521,0.013454,0.009287,0.00467,0.039865,0.050549,0.046096,0.040926,0.002537,-0.004125,0.00072,-0.004263
2025-07-31,-0.034202,-0.039308,-0.024384,-0.035185,-0.049291,-0.0282,-0.019579,-0.037017,-0.026473,-0.034982,-0.003537,-0.023384,0.006163,-0.019684,-0.031019,-0.027136,-0.012131,-0.023219,-0.013657,-0.012229,-0.038289,-0.031495,-0.026165,-0.006947,-0.007384,-0.0034,0.000386,-0.006818
2025-08-31,0.02136,0.021936,0.017011,-0.002287,0.021471,0.010737,0.006406,0.032423,0.026738,0.02109,0.015201,0.033282,0.016435,-0.005921,0.000828,-0.024148,0.012642,0.008755,0.008215,-0.001305,0.026864,0.033192,0.028342,0.015276,0.00737,0.00377,0.000373,-0.00443
2025-09-30,0.002131,-0.004663,0.010575,-0.016488,-0.009222,0.001491,-0.014133,0.002817,0.005928,0.001827,0.021781,0.024289,0.01503,-0.006176,-0.012448,0.00123,-0.006677,-0.007375,0.002776,-0.009996,0.003863,0.022607,0.009352,0.010054,-0.000977,0.000823,0.001106,-0.005976
2025-10-31,-0.018963,-0.022018,-0.01072,-0.013479,-0.043819,-0.013993,-0.008046,-0.010163,-0.012681,-0.019537,-0.010134,-0.001406,0.01483,0.002503,-0.019236,-0.013175,0.000664,-0.010881,0.003587,0.002372,-0.013369,-0.010157,-0.017504,0.015259,-0.001671,0.000817,0.001066,-0.013465
