date,USD_EW,SAFE,RISKY,CARRY_HML,HAVEN_SAFE,HAVEN_RISKY,OIL_EXP,OIL_IMP
2019-01-23,-0.0026825598186156073,0.0012898903793053663,0.005153545250887832,0.0038636548715824657,0.0008133979471597733,0.007102970076954855,0.0033388710822275236,0.0030849267184630547
2019-01-24,0.0019766102629773436,-0.002938724212808895,-9.612061470543054e-06,0.0029291121513383518,-0.0029433984054062536,0.0007916364334478176,-0.0014877754014184785,0.0005344077018791434
2019-01-25,-0.005688776623475375,0.004993286536150104,0.005362106444418765,0.00036881990826866107,0.004627048315594653,0.00349928762589972,0.0038812410501038136,0.0034765235218787716
2019-01-28,0.0008789289027863181,-0.0001774287337152071,-0.0022966433269051884,-0.0021192145931899814,0.0016368941078091408,-0.002704508272754443,-0.0008119386082332854,-0.0023778575362262875
2019-01-29,-0.0004988514986960427,-0.0005464462665519882,0.0008048286960127905,0.0013512749625647787,-0.0011725874796131837,0.003577569828446111,0.0023311476308422213,0.00037883417663124125
2019-01-30,-0.004561332507931653,0.003538292007263793,0.006234467363052839,0.002696175355789046,0.002535640710216211,0.005475768948593289,0.0023901019196135376,0.005961510347424796
2019-01-31,-0.002941682784496016,0.001032455625914404,0.004634774204773429,0.0036023185788590247,-0.00042065313004755665,0.009939797305402362,0.004785513015302009,0.003005608173575277
2019-02-01,0.0017378873193645266,-0.00219166201870311,-0.003908236642357986,-0.0017165746236548762,-0.0020889517574768286,-0.0017531201411775295,0.00016688026530652694,-0.0054575452282084784
2019-02-04,0.0012204741336398163,-0.0005994873784492694,-0.0024373232923868837,-0.0018378359139376143,-0.002474740819385858,-0.002039583710159961,-0.000838304308234672,-0.0015699592964542042
2019-02-05,0.00039665466650470134,-0.00039768421998693214,0.001038316381136812,0.0014360006011237443,-0.0015658081901577187,0.000572550070274754,-0.0012189981686560047,0.0017784370084465244
2019-02-06,0.004179924558317471,-0.0032105464400700536,-0.004484416998809605,-0.0012738705587395515,-0.002417458683566218,-0.004035609134999303,-0.003465575026675454,-0.0016654473719651304
2019-02-07,0.0019775988729554862,-0.0013916367301757277,-0.003011611521282503,-0.001619974791106775,-9.662320512519558e-05,-0.004413338338625413,-0.0030430886056174167,-0.0012248854174125023
2019-02-08,0.0005323774902873192,-0.0014607966050643785,0.00035008318408645344,0.001810879789150832,0.0006499177790747017,0.00031995364902603907,-0.0006553877750616491,-0.00037248418726587573
2019-02-11,0.004430295937332001,-0.002777196714861416,-0.007244854247486078,-0.004467657532624661,-0.004776452240985298,-0.008524707955281227,-0.005501873126915953,-0.002047221181354512
2019-02-12,-0.003267573774373673,0.0022748307879769006,0.004391067517291188,0.002116236729314288,0.000265863219236785,0.004176604356039171,0.004529397831550049,0.003974645704052482
2019-02-13,0.003469734694066971,-0.0030773512642707384,-0.008211357777750125,-0.0051340065134793875,-0.004169598938362977,-0.008764349253103099,-0.004036639376411537,-0.00402601932722894
2019-02-14,-0.0012194369803015816,0.0022365077463597565,0.001651233010820993,-0.0005852747355387636,0.003991289895275432,0.0014478429363971774,0.001806457885817966,0.0011355665436634614
2019-02-15,-0.0013664988120140951,0.0011444605895697066,-0.00032501085278752965,-0.0014694714423572363,-0.0003199366578158271,0.002184235237710349,0.002474035524732584,-0.00034272209464999054
2019-02-18,4.938214180510284e-05,0.0007691715266568428,-0.0006134358919749973,-0.0013826074186318402,0.0003622249944676429,-0.002754620158147684,-0.000802571997100646,-0.0011894256962294476
2019-02-19,-0.002940293165064177,0.0004643987863647407,0.003381875455850273,0.002917476669485532,0.001929688926272092,0.00420451988935211,0.0032277518248236786,0.002169339301639539
2019-02-20,-0.00012956279961110146,9.307857854493732e-06,-0.00025193735991432424,-0.00026124521776881796,-0.0007583417396327168,-0.000977545165518734,-0.0005563417632058476,-0.0008890141157706551
